Brand,Description,Price,Size,Volume,Classification,PurchasePrice,VendorNumber,VendorName
115,Belvedere Vodka,27.99,1000mL,1000,1,21.37,8112,MOET HENNESSY USA INC      
1094,Four Roses Single Barrel Brb,40.99,750mL,750,1,29.92,9552,M S WALKER INC             
1133,Glenmorangie Collection 4 Pk,31.99,100mL 4 Pk,100,1,23.01,8112,MOET HENNESSY USA INC      
1135,Rebel Reserve Bourbon,19.99,750mL,750,1,15.62,8352,LUXCO INC                  
1174,Rebel Yell,19.99,1750mL,1750,1,15.87,8352,LUXCO INC                  
1178,Evan Williams Black Label B,10.99,750mL,750,1,7.83,3924,HEAVEN HILL DISTILLERIES   
1180,Evan Williams Black Label B,16.99,1750mL,1750,1,13.07,3924,HEAVEN HILL DISTILLERIES   
1186,Evan Williams Single Barrel,24.99,750mL,750,1,17.98,3924,HEAVEN HILL DISTILLERIES   
10058,F Coppola Dmd Ivry Cab Svgn,13.99,750mL,750,2,9.26,2000,SOUTHERN WINE & SPIRITS NE 
10062,Terroirs du Rhone,8.99,750mL,750,2,6.03,10754,PERFECTA WINES             
10236,Layer Cake Malbec Mendoza,14.99,750mL,750,2,7.81,4425,MARTIGNETTI COMPANIES
10238,Layer Cake Primitivo Puglia,15.99,750mL,750,2,10.66,4425,MARTIGNETTI COMPANIES
10239,Cannonball Cab Svgn Cal,14.99,750mL,750,2,9.08,4425,MARTIGNETTI COMPANIES
10254,Beringer Classic Chard,5.99,750mL,750,2,3.37,9819,TREASURY WINE ESTATES      
10266,Klinker Brick Old Vine Znfdl,15.99,750mL,750,2,9.58,9552,M S WALKER INC             
10296,Alamos Slcn Malbec Mendoza,15.99,750mL,750,2,9.73,3252,E & J GALLO WINERY         
10420,Barefoot Moscato Cal,6.29,750mL,750,2,3.35,3252,E & J GALLO WINERY         
10421,Barefoot Moscato Cal,8.79,1500mL,1500,2,5.9,3252,E & J GALLO WINERY         
10441,Charles Smith Boom Boom Syra,18.99,750mL,750,2,10.95,10754,PERFECTA WINES             
10443,Charles Smith Kung Fu Girl R,11.99,750mL,750,2,6.5,10754,PERFECTA WINES             
10451,Line 39 Cab Svgn Lake Cnty,9.99,750mL,750,2,5.29,7153,PINE STATE TRADING CO      
10453,Line 39 Svgn Bl Lake County,9.99,750mL,750,2,5.29,7153,PINE STATE TRADING CO      
10469,Easton Svgn Bl Sierra Foothl,15.99,750mL,750,2,10.32,90024,VINILANDIA USA             
10472,Clos du Bois Pnt Nr Cal,10.99,750mL,750,2,6.07,1392,CONSTELLATION BRANDS INC   
10579,High Note Malbec Mendoza,9.99,750mL,750,2,6.62,7153,PINE STATE TRADING CO      
10596,Almaden Mt Rhine Calif B/B,16.99,5000mL,5000,2,9.86,9815,WINE GROUP INC             
10603,Parducci Petite Sirah,10.99,750mL,750,2,7.58,9552,M S WALKER INC             
10609,Oyster Bay Chard Marlboro,11.99,750mL,750,2,7.84,4425,MARTIGNETTI COMPANIES
10626,MezzaCorona Pnt Nr,10.99,1500mL,1500,2,7.53,9165,ULTRA BEVERAGE COMPANY LLP 
10676,W Hill RSV Cab Svgn,42.99,750mL,750,2,28.1,3252,E & J GALLO WINERY         
10680,Segura Viudas Brut RSV,10.99,750mL,750,2,7.18,4425,MARTIGNETTI COMPANIES
10723,R M Woodbridge Chard,8.99,1500mL,1500,2,6.2,1392,CONSTELLATION BRANDS INC   
10727,Starborough Svgn Bl Marlboro,9.99,750mL,750,2,5.41,3252,E & J GALLO WINERY         
10750,Gattinara Travaglini,27.99,750mL,750,2,17.99,4425,MARTIGNETTI COMPANIES
10874,Cantine Maschio Prosecco Brt,10.99,750mL,750,2,7.53,516,BANFI PRODUCTS CORP        
10895,Schmitt Sohne Relax Mosel,19.99,1500mL,1500,2,13.51,9552,M S WALKER INC             
10927,Barefoot Sparklng Pnt Grigio,9.99,750mL,750,2,6.57,3252,E & J GALLO WINERY         
10957,Seaglass Svgn Bl Snt Barbara,8.99,750mL,750,2,6.12,8892,TRINCHERO FAMILY ESTATES   
11067,Sterling Chard,15.99,750mL,750,2,8.24,1590,DIAGEO CHATEAU ESTATE WINES
11089,Jaboulet Cts Rhone Parl Rose,11.99,750mL,750,2,6.86,9744,FREDERICK WILDMAN & SONS   
11141,C K Mondavi Chard,9.99,1500mL,1500,2,5.55,2000,SOUTHERN WINE & SPIRITS NE 
11152,Stemmari Pt Nr,7.99,750mL,750,2,5.26,9165,ULTRA BEVERAGE COMPANY LLP 
11196,Angelini Pnt Grigio Veneto,10.99,750mL,750,2,5.88,7153,PINE STATE TRADING CO      
11199,Carpene Malvolti Prosecco,14.99,750mL,750,2,9.8,7153,PINE STATE TRADING CO      
11200,Palagetto Vernaccia Gimigano,14.99,750mL,750,2,9.26,7153,PINE STATE TRADING CO      
11213,Meiomi Pnt Nr,19.99,750mL,750,2,12.66,1392,CONSTELLATION BRANDS INC   
11214,Caymus Cab Svgn Napa Vly,74.99,750mL,750,2,50.33,4425,MARTIGNETTI COMPANIES
11219,Josh Cellars Cab Svgn Sonoma,12.99,750mL,750,2,8.44,4425,MARTIGNETTI COMPANIES
11227,Girard Svgn Bl Napa Vly,16.99,750mL,750,2,9.73,4425,MARTIGNETTI COMPANIES
11238,Willamette Whole Clst Pnt Nr,20.99,750mL,750,2,13.24,2000,SOUTHERN WINE & SPIRITS NE 
11310,Beaulieu Tapestry 05 Rsv,58.99,750mL,750,2,38.31,1590,DIAGEO CHATEAU ESTATE WINES
11320,Edna Valley Paragon Svgn Bl,11.99,750mL,750,2,7.74,3252,E & J GALLO WINERY         
11353,Latour Meursault AC Blanc,50.99,750mL,750,2,31.75,9552,M S WALKER INC             
11354,Paso a Paso Tempranillo,9.99,750mL,750,2,6.57,9552,M S WALKER INC             
11367,Two Oceans WstrnCape Svgn Bl,9.99,750mL,750,2,6.07,9165,ULTRA BEVERAGE COMPANY LLP 
11414,Beringer Classic Moscato,5.99,750mL,750,2,3.26,9819,TREASURY WINE ESTATES      
11420,Aresti Est Chardonnay,10.99,750mL,750,2,3.39,90024,VINILANDIA USA             
11440,Peter Vella Sangria B/B,13.99,5000mL,5000,2,9.14,3252,E & J GALLO WINERY         
11449,Cambridge & Sunset Pnt Nr,16.99,750mL,750,2,8.84,10754,PERFECTA WINES             
11456,Burgess Cab Svgn Napa,35.99,750mL,750,2,22.72,4425,MARTIGNETTI COMPANIES
11480,Candia Vyds Noiret Vault RSV,14.99,750mL,750,2,10.06,90046,CANDIA VINEYARDS           
11488,C K Mondavi Cab Svgn,10.99,1500mL,1500,2,7.53,2000,SOUTHERN WINE & SPIRITS NE 
11698,Lamberti Prosecco X Dry,11.99,750mL,750,2,7.84,9744,FREDERICK WILDMAN & SONS   
11771,Palagetto Sottobosco Rosso,29.99,750mL,750,2,19.17,7153,PINE STATE TRADING CO      
11825,Cupcake Cab Svgn,6.99,750mL,750,2,4.66,9815,WINE GROUP INC             
11826,Cupcake Chard,6.99,750mL,750,2,4.72,9815,WINE GROUP INC             
11827,Cupcake Merlot,6.99,750mL,750,2,4.76,9815,WINE GROUP INC             
11828,Cupcake Svgn Bl,6.99,750mL,750,2,3.97,9815,WINE GROUP INC             
11888,Penfolds Koonunga Hills Shir,10.99,750mL,750,2,7.53,4425,MARTIGNETTI COMPANIES
1029,Fulton's Harvest Apple Pie L,6.99,750mL,750,1,5.26,3924,HEAVEN HILL DISTILLERIES   
10264,Fort Ross Pnt Nr Sonoma Cst,29.99,750mL,750,2,19.6,10754,PERFECTA WINES             
1020,B & B Dom VAP,28.99,750mL,750,1,18.11,480,BACARDI USA INC            
1013,Kahlua Pumpkin Spice Liqueur,13.99,750mL,750,1,10.29,17035,PERNOD RICARD USA          
1012,Courvoisier VSOP VAP,37.99,750mL,750,1,25.73,12546,JIM BEAM BRANDS COMPANY    
1019,Drambuie Glass Pack,29.99,750mL,750,1,20.6,3664,WILLIAM GRANT & SONS INC   
1061,Christian Bros Holiday Nog,6.99,750mL,750,1,5.3,3924,HEAVEN HILL DISTILLERIES   
1168,Old Grand Dad Bonded,24.99,750mL,750,1,14.28,12546,JIM BEAM BRANDS COMPANY    
1004,Jim Beam w/2 Rocks Glasses,16.49,750mL,750,1,10.65,12546,JIM BEAM BRANDS COMPANY    
1005,Maker's Mark Combo Pack,34.99,375mL 2 Pk,375,1,27.34,12546,JIM BEAM BRANDS COMPANY    
1060,Jack Daniels Bruins Glass Pk,31.99,1000mL,1000,1,21.7,1128,BROWN-FORMAN CORP          
1064,Jack Daniels Honey + Glass,26.99,750mL,750,1,18.39,1128,BROWN-FORMAN CORP          
1037,JP Wiser's Rye w/ 2 Glasses,24.99,750mL,750,1,15.5,17035,PERNOD RICARD USA          
1112,Ardbeg Exploration Pk +50mls,46.99,750mL,750,1,34.91,8112,MOET HENNESSY USA INC      
1006,Jim Beam Candy Cane 4/50mLs,3.99,50mL 4 Pk,50,1,3.14,12546,JIM BEAM BRANDS COMPANY    
1035,Pinnacle Vodka Gift Pak,12.99,750mL + 3/,750,1,8.59,12546,JIM BEAM BRANDS COMPANY    
1036,Jameson Trilogy Pack,39.99,200mL 3 Pk,200,1,29.84,17035,PERNOD RICARD USA          
1039,Three Olives Vodka w/Flask,14.99,750mL,750,1,10.31,7245,PROXIMO SPIRITS INC.       
1051,Woodford Reserve MC 1838,99.99,750mL,750,1,74.62,1128,BROWN-FORMAN CORP          
1009,Rebel Yell Variety Pack,49.99,750mL 3 Pk,750,1,38.75,8352,LUXCO INC                  
1021,St Brendans Peppermint Bark,13.99,750mL,750,1,10.76,8352,LUXCO INC                  
1022,St Brendans Salted Caramel,13.99,750mL,750,1,10.6,8352,LUXCO INC                  
1024,Hennessey VS +VSOP 50mL,31.99,750mL,750,1,19.99,8112,MOET HENNESSY USA INC      
1031,Avion Tasting Flight 3/375mL,49.99,375mL 3 Pk,375,1,33.57,17035,PERNOD RICARD USA          
1033,Chivas Regal w/ 2 Glasses,31.99,750mL,750,1,23.07,17035,PERNOD RICARD USA          
1065,DiSaronno Cavalli Collection,12.99,50mL 3 Pk,50,1,10.07,2555,DISARONNO INTERNATIONAL LLC
