VendorNumber,VendorName,InvoiceDate,PONumber,PODate,PayDate,Quantity,Dollars,Freight,Approval
516,BANFI PRODUCTS CORP        ,2016-01-07,8170,2015-12-24,2016-02-12,1935,15527.25,429.2,None
1128,BROWN-FORMAN CORP          ,2016-01-09,8150,2015-12-23,2016-02-19,4684,65403.57,1808.77,None
1392,CONSTELLATION BRANDS INC   ,2016-01-11,8108,2015-12-20,2016-02-10,8466,60281.13,1549.81,None
1590,DIAGEO CHATEAU ESTATE WINES,2016-01-12,8109,2015-12-20,2016-02-11,2246,14298.09,408.72,None
3252,E & J GALLO WINERY         ,2016-01-09,8110,2015-12-20,2016-02-19,8086,56493.23,1300.92,None
9744,FREDERICK WILDMAN & SONS   ,2016-01-06,8176,2015-12-24,2016-02-12,1222,8610.71,212.93,None
3924,HEAVEN HILL DISTILLERIES   ,2016-01-08,8155,2015-12-23,2016-02-15,818,7079.02,200.02,None
12546,JIM BEAM BRANDS COMPANY    ,2016-01-06,8142,2015-12-22,2016-02-19,11611,151890.49,3506.08,None
8352,LUXCO INC                  ,2016-01-08,8113,2015-12-20,2016-02-07,819,6139.47,196.61,None
9552,M S WALKER INC             ,2016-01-10,8157,2015-12-23,2016-02-09,8061,68620.75,1591.5,None
4425,MARTIGNETTI COMPANIES,2016-01-05,8159,2015-12-23,2016-02-13,16075,185155.6,4613.45,None
8112,MOET HENNESSY USA INC      ,2016-01-08,8180,2015-12-24,2016-02-06,1392,31015.8,938.79,None
10754,PERFECTA WINES             ,2016-01-10,8115,2015-12-20,2016-02-10,2398,20861.33,633.9,None
17035,PERNOD RICARD USA          ,2016-01-05,8181,2015-12-24,2016-02-11,5772,80916.64,2703.94,None
7153,PINE STATE TRADING CO      ,2016-01-04,8132,2015-12-21,2016-02-05,2334,15276.52,338.2,None
2000,SOUTHERN WINE & SPIRITS NE ,2016-01-05,8185,2015-12-24,2016-02-04,1479,12709.58,397.04,None
9819,TREASURY WINE ESTATES      ,2016-01-05,8147,2015-12-22,2016-02-17,1263,7808.74,243.38,None
8892,TRINCHERO FAMILY ESTATES   ,2016-01-09,8148,2015-12-22,2016-02-09,2089,11651.54,403.44,None
9165,ULTRA BEVERAGE COMPANY LLP ,2016-01-07,8203,2015-12-25,2016-02-13,6002,59168.69,1683.03,None
90024,VINILANDIA USA             ,2016-01-12,8149,2015-12-22,2016-02-21,145,1126.4,44.36,None
3664,WILLIAM GRANT & SONS INC   ,2016-01-11,8136,2015-12-21,2016-02-14,1118,20144.32,617.13,None
